IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Rating,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Investing CF,Financing CF,Profit Margin,Tax / Revenue,Equity,Working Capital
2020-10-28,AJAX,Ajax I,10.00,8.72,-12.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,LUXA,Lux Health Tech Acquisition Corp.,10.00,10.04,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,MACU,Mallard Acquisition Corp.,10.00,10.09,0.90%,,,,,,,,,United States,,2020,,,,,,,,,,,,,,,,,,,
2020-10-23,FHTX,Foghorn Therapeutics Inc.,16.00,5.23,-67.31%,222619657,7500000,120000000,19.00,-72.47%,NASDAQ,Healthcare,Biotechnology,United States,116,2015,44210,Strong Buy,,,,34155000,77.63%,37.88%,34155000,77.63%,-98426000,,-85539000,144450000,1778000,-288.17%,12.37%,-77190000,181745000
2020-10-23,EUCR,Eucrates Biomedical Acquisition Corp.,10.00,10.04,0.40%,42228842,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,,,12700,,,,,,,,,,2419605,-36.73%,2419605,93190794,-92590794,,,-3717596,67058
2020-10-23,ACAC,Acies Acquisition Corp.,10.00,8.39,-16.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-23,ATAC,Altimar Acquisition Corp.,10.00,10.01,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,ABCM,Abcam plc,17.50,23.99,37.09%,5521322496,8945218,156541315,18.00,33.28%,NASDAQ,Healthcare,Biotechnology,United Kingdom,1760,1998,7430229,Hold,,,,480632911,27.54%,,358451750,34.75%,-30253165,,,-39562825,-25119254,-6.29%,-2.35%,903288361,84023903
2020-10-22,MCFE,McAfee Corp.,20.00,25.99,29.95%,4886665728,37000000,740000000,18.60,,,Information Technology,Software,United States,2262,2019,,Sell,,,,1920000000,23.23%,22.07%,1450000000,30.16%,849000000,,1137000000,3935000000,-3851000000,44.22%,-8.33%,-8239000000,-282000000
2020-10-22,GHLD,Guild Holdings Company,15.00,13.50,-10.00%,824912465,6500000,97500000,15.00,-10.00%,NYSE,Financials,Mortgage Finance,United States,4200,1960,2943,Buy,,,,655187000,-43.75%,-57.38%,125326000,-77.03%,-39009000,,-9996000,-136603000,208949000,-5.95%,-1.07%,1183156000,
2020-10-22,YSAC,Yellowstone Acquisition Company,10.00,8.67,-13.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,TEKK,Tekkorp Digital Acquisition Corp.,10.00,10.04,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,CTAC,Cerberus Telecom Acquisition Corp.,10.00,7.81,-21.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,BLSA,BCLS Acquisition Corp.,10.00,10.04,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,RICE,Rice Acquisition Corp.,10.00,18.27,82.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,YGMZ,MingZhu Logistics Holdings Limited,4.00,0.43,-89.25%,11837642,3000000,12000000,4.40,-90.23%,NASDAQ,Industrials,Trucking,China,180,2002,63221,,,,,109834039,462.59%,,6287216,112.27%,-554531,,1892341,3690795,660166,-0.50%,0.00%,46364811,3450414
2020-10-21,MSP,Datto Holding Corp.,27.00,35.18,30.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,XPOA,"DPCM Capital, Inc.",10.00,8.66,-13.40%,,,,,,,Information Technology,Software,United States,,,,,,,,,,,,,,,,,,,,,
2020-10-21,LFTR,Lefteris Acquisition Corp.,10.00,10.05,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,SPNV,"Supernova Partners Acquisition Company, Inc.",10.00,8.80,-12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,HIGA,H.I.G. Acquisition Corp.,10.00,10.04,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,SRSA,Sarissa Capital Acquisition Corp.,10.00,10.05,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,HZON,Horizon Acquisition Corporation II,10.00,11.33,13.25%,343696763,50000000,500000000,,,NYSEAMERICAN,Financials,Shell Companies,United States,,,6319,,,,,,,,,,7900475,-60.68%,7900475,353882209,-352382209,,,-30555003,-7960663
2020-10-20,GWAC,Good Works Acquisition Corp.,10.00,10.50,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,DCRB,Decarbonization Plus Acquisition Corporation,10.00,10.33,3.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,HLXA,Helix Acquisition Corp.,10.00,13.25,32.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-16,TARS,"Tarsus Pharmaceuticals, Inc.",16.00,32.21,101.31%,1207878221,5500000,88000000,16.20,98.83%,NASDAQ,Healthcare,Biotechnology,United States,244,2016,321409,Strong Buy,,,,17447000,-32.42%,30.76%,15854000,-36.23%,-135893000,,-131129000,140604000,130176000,-778.89%,,196988000,219195000
